지역,2012.1,2012.2,2013.1,2013.2,2014.1,2014.2,2014.3,2015.1,2015.2,2015.3,2016.1,2016.2,2016.3,2017.1,2017.2,2017.3,2018.1,2018.2,2018.3,2019.1,2019.2,2019.3,2020.1,2020.2,2020.3,2021.1,2021.2,2021.3,2022.1,2022.2,2022.3
 ,경력자,신입자,경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자,경력자,입사 경력자,신입자
계,"68,220","58,588","78,325","54,697","86,795","6,198","52,405","97,586","9,707","50,449","101,827","9,505","48,477","102,935","10,021","48,513","105,452","11,674","49,930","108,547","12,017","48,048","110,037","12,489","48,634","110,506","12,608","49,044","111,046","12,800","48,878"
서울,"18,102","5,083","16,988","4,015","15,827",571,"4,714","17,708",888,"8,140","19,114","1,642","6,489","19,672","1,764","6,730","21,811","1,756","5,735","21,328","2,229","8,258","18,665","1,871","7,500","18,394","2,151","8,028","24,727","2,747","7,229"
부산,"2,035",946,"4,686",493,"3,612",529,"1,167","3,123","1,206",711,"1,968",143,"1,013","1,714",5,985,"1,567",68,"1,245","2,885",314,"1,805","2,887",160,"1,851","2,888",381,916,"1,104",111,595
대구,"2,805","1,710","2,848","2,589","2,062",38,"4,583","3,275",532,"3,067","2,719",212,"2,205","2,811",150,"2,093",793,154,"1,897",393,28,511,"3,773",508,"1,666","5,197",781,"2,288","4,084",526,"1,621"
인천,"3,141","2,704","4,335","3,488","3,933",179,"3,882","5,092",519,"4,132","5,187",305,"2,584","5,358",448,"2,593","6,944","1,153","1,566","3,931",597,"2,811","7,212",970,"3,525","7,192",819,"3,168","3,672",448,"2,050"
광주,"1,362",944,"1,306","1,294","1,489",11,848,"1,365",53,295,"1,385",82,184,"1,138",49,32,974,121,417,527,107,185,"1,231",301,205,"1,113",130,575,"1,899",263,211
대전(세종),"1,943","1,020","1,855","1,056","2,292",65,978,"2,012",158,958,"2,261",168,"1,611","2,421",212,"1,664","1,502",181,"1,032","1,618",159,"1,128","2,071",392,"1,962","2,119",259,691,"2,338",346,"1,389"
울산,"2,314","3,875","2,852","3,428","3,795",136,"2,674","4,037",541,"2,884","4,486",592,"1,500","4,637",536,"1,667","6,703",436,"2,360","5,622",711,"1,971","5,619",604,"1,894","7,933",759,"5,349","5,283",235,"5,543"
경기,"20,078","11,369","22,224","10,423","23,760","2,439","9,198","27,488","2,178","11,606","25,889","2,176","14,623","26,647","2,305","14,836","34,189","5,641","18,193","29,316","3,421","12,535","27,582","3,310","11,975","36,596","4,607","17,057","24,558","3,443","10,073"
강원,659,235,617,242,"1,015",15,74,830,22,261,947,160,197,965,324,159,"1,329",78,541,733,59,630,"1,389",109,501,"1,711",106,550,91,30,64
충북,"2,198","1,366","2,411","1,794","3,761",74,"3,184","3,978",309,"1,914","3,309",308,"2,883","3,575",453,"2,786","2,426",381,"3,420","5,837",536,"2,163","5,929",861,"3,179","2,820",366,795,"4,522",562,"1,960"
충남,"3,459","3,493","3,850","3,340","4,156",14,"3,612","4,880",245,"2,308","6,951",637,"3,118","7,063",806,"2,938","5,027",232,"1,070","5,733","1,051","4,896","6,022",626,"3,434","2,119",232,680,"7,757",929,"4,166"
전북,"1,478","1,480","1,884","2,049","2,967",220,"1,711","2,295",594,"2,097","2,482",308,"1,040","2,438",445,965,"3,173",366,"2,039",999,120,836,"1,858",224,"1,016","1,373",164,566,184,47,109
전남,"1,023",706,949,"1,041","1,287",42,726,"2,675",366,"1,863","2,730",116,636,"2,422",108,734,"3,668",262,"1,427",847,121,428,"1,812",158,650,"1,114",160,714,980,48,509
경북,"2,715","9,601","2,940","8,732","6,349",257,"6,038","5,765",352,"2,853","6,781","1,005","4,041","6,612",873,"4,021","2,550",503,"3,595",899,131,282,"2,400",415,715,"2,225",178,174,"13,203",903,"6,458"
경남,"4,790","14,022","8,516","10,669","10,217","1,608","8,830","12,864","1,719","7,209","15,316","1,624","6,305","15,179","1,535","6,277","12,611",319,"5,296","27,749","2,431","9,543","21,480","1,947","8,486","17,511","1,510","7,401","16,390","2,145","6,848"
제주,118,36,64,43,273,0,187,198,24,151,303,24,47,284,8,32,187,23,97,130,3,67,108,33,74,200,6,91,252,18,54
