통계표명:,성별 및 연령집단별 일자리만족도,,,,
단위:,%,,,,
,,2017,2019,2021,2023
전체,,27.7,32.3,35.0,35.1
성,남성,27.8,32.1,34.0,34.5
,여성,27.5,32.5,36.4,35.8
연령집단,20세 미만,28.2,33.3,42.3,35.4
,20-29세,27.3,32.9,35.8,37.5
,30-39세,31.1,34.3,36.2,34.7
,40-49세,29.7,33.8,39.2,36.9
,50-59세,24.8,31.1,34.7,34.3
,60세 이상,20.9,26.5,25.1,31.4
출처:,"통계청, 「사회조사」",,,,
,"*자료 : 통계청, 「사회조사」 각 연도",,,,
주석:,1) 일자리만족도는 취업 중인 사람들 중 현재 일자리에 대해 &apos;매우 만족&apos; 또는 &apos;약간 만족&apos;이라고 응답한 사람들의 비율임.,,,,
,"2) 2009년은 15세 이상, 2011년부터는 13세 이상 인구를 대상으로 함.",,,,
